Transaction ID,Branch,Product ID,Qty,Unit Price,Sale Date,Payment
44,Lekki,16,3,502.79,2026-08-02,cash
45,Lekki,18,1,712.2,2026-08-01,cash
46,Lekki,17,3,1115.64,2026-08-05,cash
47,Surulere,3,2,374.02,2026-08-02,cash
48,Ikeja,19,4,,2026-08-01,cash
49,Ikeja,19,6,1110.31,2026-08-02,card
50,Lekki,8,5,714.32,2026-08-06,card
51,Ikeja,11,2,781.82,2026-08-05,cash
52,Yaba,3,4,360.47,2026-08-02,transfer
53,Surulere,8,6,696.31,2026-08-04,cash
54,Lekki,20,1,875.22,2026-08-05,transfer
55,Yaba,4,3,159.92,2026-08-01,card
56,Lekki,9,5,633.16,2026-08-06,transfer
57,Ikeja,9,8,584.53,2026-08-07,cash
58,Ikeja,14,5,202.2,2026-08-03,card
59,Lekki,9,3,651.92,2026-08-05,card
60,Victoria Island,1,2,,2026-08-06,card
61,Victoria Island,12,3,498.35,2026-08-01,transfer
62,Victoria Island,2,6,284.18,2026-08-02,card
63,Ikeja,18,7,746.08,2026-08-06,card
64,Yaba,8,3,808.63,2026-08-07,card
65,Surulere,1,3,331.56,2026-08-03,cash
66,Surulere,8,5,675.87,2026-08-06,cash
67,Victoria Island,2,8,285.01,2026-08-07,cash
68,Victoria Island,8,4,653.85,2026-08-02,cash
69,Victoria Island,3,5,348.09,2026-08-05,cash
70,Lekki,18,6,740.89,2026-08-01,transfer
71,Ikeja,9,1,564.91,2026-08-04,transfer
72,Lekki,11,7,,2026-08-05,cash
73,Victoria Island,19,4,957.31,2026-08-06,cash
74,Ikeja,18,4,654.63,2026-08-01,card
75,Yaba,20,6,874.39,2026-08-01,card
76,Yaba,17,5,1283.4,2026-08-03,cash
77,Lekki,18,3,628.78,2026-08-06,cash
78,Lekki,6,5,881.22,2026-08-07,cash
79,Victoria Island,7,7,1435.73,2026-08-05,card
80,Victoria Island,15,8,759.79,2026-08-05,cash
81,Surulere,6,2,856.76,2026-08-06,card
82,Lekki,3,4,373.82,2026-08-02,card
83,Ikeja,2,4,336.42,2026-08-05,cash
84,Victoria Island,19,4,,2026-08-04,cash
85,Victoria Island,5,1,244.63,2026-08-07,cash
86,Surulere,8,3,780.67,2026-08-06,cash
87,Victoria Island,18,4,737.62,2026-08-01,cash
88,Ikeja,15,6,804.38,2026-08-04,cash
89,Surulere,17,7,1328.41,2026-08-05,cash
90,Surulere,16,8,511.1,2026-08-02,card
91,Ikeja,17,8,1272.36,2026-08-03,cash
92,Ikeja,10,4,448.53,2026-08-03,cash
93,Ikeja,5,4,219.15,2026-08-02,card
94,Ikeja,14,7,216.54,2026-08-04,cash
95,Ikeja,14,7,245.24,2026-08-05,card
96,Ikeja,19,7,,2026-08-03,transfer
97,Surulere,14,4,224.41,2026-08-03,cash
98,Victoria Island,13,6,2100.99,2026-08-07,cash
99,Lekki,15,3,809.37,2026-08-05,cash
100,Yaba,19,1,918.89,2026-08-04,card
101,Surulere,6,1,852.03,2026-08-03,card
102,Victoria Island,11,7,834.26,2026-08-07,cash
103,Ikeja,3,8,321.55,2026-08-05,cash
104,Yaba,12,4,523.14,2026-08-07,card
105,Ikeja,1,4,293.96,2026-08-01,cash
106,Ikeja,5,8,233.47,2026-08-05,card
107,Victoria Island,9,6,573.07,2026-08-05,card
108,Lekki,6,5,,2026-08-01,transfer
109,Lekki,13,7,2223.66,2026-08-02,cash
110,Lekki,8,2,763.29,2026-08-03,card
111,Lekki,4,1,163.02,2026-08-04,card
112,Victoria Island,17,6,1103.48,2026-08-04,cash
113,Ikeja,12,8,529.57,2026-08-04,card
114,Lekki,9,8,613.92,2026-08-07,card
115,Lekki,11,4,941.99,2026-08-01,transfer
116,Surulere,8,8,742.6,2026-08-06,cash
117,Victoria Island,16,6,501.82,2026-08-02,transfer
118,Surulere,11,5,951.66,2026-08-06,transfer
119,Lekki,17,4,1123.54,2026-08-06,cash
120,Victoria Island,8,8,,2026-08-04,cash
121,Surulere,3,5,337.73,2026-08-06,card
122,Victoria Island,19,6,1006.48,2026-08-05,transfer
123,Victoria Island,18,6,652.77,2026-08-04,transfer
124,Victoria Island,8,2,767.21,2026-08-03,cash
125,Lekki,6,4,843.28,2026-08-04,transfer
126,Lekki,17,5,1369.64,2026-08-07,card
127,Ikeja,12,3,484.01,2026-08-06,cash
128,Ikeja,2,1,307.35,2026-08-06,card
129,Lekki,16,2,584.73,2026-08-05,transfer
130,Victoria Island,15,6,679.96,2026-08-01,transfer
131,Yaba,16,2,578.65,2026-08-04,cash
132,Ikeja,2,3,,2026-08-05,transfer
133,Ikeja,8,2,740.69,2026-08-04,cash
134,Lekki,20,4,895.44,2026-08-04,cash
135,Yaba,10,7,452.06,2026-08-05,cash
136,Lekki,4,4,173.46,2026-08-03,card
137,Ikeja,8,3,739.7,2026-08-02,cash
138,Victoria Island,20,8,804.61,2026-08-02,transfer
139,Lekki,15,2,761.7,2026-08-03,card
140,Lekki,7,7,1234.43,2026-08-02,card
141,Ikeja,9,3,559.82,2026-08-02,transfer
142,Lekki,19,5,998.81,2026-08-04,card
143,Victoria Island,13,5,2025.21,2026-08-04,cash
144,Ikeja,2,7,,2026-08-05,transfer
145,Ikeja,8,1,812.43,2026-08-06,transfer
146,Lekki,6,8,903.79,2026-08-04,transfer
147,Ikeja,19,7,1042.83,2026-08-04,cash
148,Victoria Island,14,6,216.05,2026-08-01,card
149,Victoria Island,16,5,559.51,2026-08-04,cash
150,Ikeja,3,6,340.19,2026-08-01,cash
151,Surulere,1,8,308.93,2026-08-02,cash
152,Victoria Island,16,8,571.2,2026-08-02,transfer
153,Victoria Island,10,8,512.49,2026-08-04,cash
154,Ikeja,20,4,883.08,2026-08-03,cash
155,Ikeja,14,2,211.24,2026-08-07,cash
156,Victoria Island,4,3,,2026-08-06,transfer
157,Victoria Island,9,7,664.77,2026-08-04,card
158,Victoria Island,5,7,209.53,2026-08-05,cash
159,Lekki,5,2,213.81,2026-08-07,cash
160,Victoria Island,17,5,1325.65,2026-08-03,card
161,Ikeja,19,8,1094.68,2026-08-04,cash
162,Victoria Island,11,7,868.79,2026-08-03,card
163,Yaba,8,7,687.95,2026-08-07,cash
164,Ikeja,16,7,526.33,2026-08-06,card
165,Yaba,16,1,495.15,2026-08-05,transfer
166,Surulere,15,2,735.47,2026-08-04,cash
167,Lekki,14,3,203.74,2026-08-07,transfer
168,Victoria Island,13,2,,2026-08-07,card
169,Surulere,13,6,2082.06,2026-08-07,cash
170,Surulere,2,2,285.85,2026-08-06,transfer
171,Yaba,3,7,398.27,2026-08-07,card
172,Lekki,4,8,156.24,2026-08-03,cash
173,Ikeja,2,5,294.2,2026-08-04,card
174,Ikeja,14,3,208.5,2026-08-01,cash
175,Surulere,20,4,843.31,2026-08-05,card
176,Ikeja,9,8,585.11,2026-08-01,cash
177,Yaba,18,3,611.08,2026-08-03,cash
178,Ikeja,14,5,222.84,2026-08-03,card
179,Yaba,16,2,508.46,2026-08-05,transfer
180,Lekki,10,1,,2026-08-06,cash
181,Ikeja,19,1,1104.89,2026-08-06,cash
182,Surulere,10,4,483.74,2026-08-03,card
183,Lekki,20,5,877.08,2026-08-06,card
184,Lekki,5,2,245.17,2026-08-06,cash
185,Victoria Island,15,1,744.18,2026-08-06,card
186,Ikeja,10,6,498.49,2026-08-02,card
187,Ikeja,18,6,679.63,2026-08-03,card
188,Ikeja,16,5,569.59,2026-08-03,cash
189,Victoria Island,3,3,380.33,2026-08-02,card
190,Lekki,13,6,1840.64,2026-08-04,cash
191,Ikeja,4,8,163.82,2026-08-06,card
192,Ikeja,13,6,,2026-08-02,cash
193,Ikeja,18,6,737.29,2026-08-02,card
194,Ikeja,15,5,755.5,2026-08-01,card
195,Ikeja,2,5,337.23,2026-08-01,cash
196,Ikeja,18,3,658.3,2026-08-03,card
197,Yaba,18,7,688.1,2026-08-06,card
198,Surulere,4,8,173.09,2026-08-03,cash
199,Lekki,7,8,1333.41,2026-08-02,transfer
200,Ikeja,12,6,456.81,2026-08-03,card
201,Yaba,15,2,757.7,2026-08-06,card
202,Lekki,1,1,335.08,2026-08-02,card
203,Surulere,7,2,1448.95,2026-08-05,card
204,Lekki,8,6,,2026-08-07,cash
205,Ikeja,5,3,227.01,2026-08-07,card
206,Ikeja,1,3,281.04,2026-08-07,card
207,Lekki,1,3,298.58,2026-08-02,card
208,Victoria Island,4,2,167.86,2026-08-07,transfer
209,Victoria Island,4,8,168.89,2026-08-05,cash
210,Lekki,17,5,1225.96,2026-08-01,cash
211,Yaba,13,7,2108.74,2026-08-04,card
212,Yaba,3,2,345.77,2026-08-02,cash
213,Ikeja,20,6,821.42,2026-08-05,cash
214,Ikeja,17,7,1127.27,2026-08-06,cash
215,Surulere,18,4,664.51,2026-08-02,cash
216,Victoria Island,15,7,,2026-08-01,transfer
217,Victoria Island,9,6,681.12,2026-08-06,cash
218,Ikeja,3,2,354.55,2026-08-06,card
219,Victoria Island,5,1,229.32,2026-08-05,cash
220,Victoria Island,4,7,163.26,2026-08-06,cash
221,Surulere,2,5,310.53,2026-08-03,cash
222,Lekki,7,3,1397.02,2026-08-02,cash
223,Victoria Island,18,6,617.23,2026-08-03,cash
224,Ikeja,14,1,230.45,2026-08-06,card
225,Ikeja,6,5,940.54,2026-08-03,transfer
226,Victoria Island,6,3,913.26,2026-08-04,cash
227,Ikeja,1,2,332.23,2026-08-02,cash
228,Victoria Island,11,3,,2026-08-06,transfer
229,Surulere,19,2,1098.75,2026-08-02,card
230,Surulere,2,2,288.37,2026-08-06,cash
231,Victoria Island,15,7,694.39,2026-08-07,cash
232,Ikeja,14,2,214.16,2026-08-06,cash
233,Victoria Island,10,1,443.15,2026-08-05,cash
234,Ikeja,10,4,500.57,2026-08-07,transfer
235,Ikeja,4,1,168.65,2026-08-04,card
236,Ikeja,18,4,675.04,2026-08-07,card
237,Surulere,3,7,388.94,2026-08-01,cash
238,Ikeja,3,6,366.06,2026-08-05,cash
239,Lekki,14,5,205.76,2026-08-01,transfer
240,Ikeja,20,8,,2026-08-03,cash
241,Victoria Island,4,4,166.34,2026-08-04,cash
242,Ikeja,10,6,443.27,2026-08-07,card
243,Ikeja,4,4,183.97,2026-08-03,transfer
244,Lekki,5,4,205.14,2026-08-03,card
245,Ikeja,5,2,208.86,2026-08-07,card
246,Victoria Island,19,8,1053.26,2026-08-05,card
247,Lekki,20,6,912.05,2026-08-06,transfer
248,Ikeja,3,8,355.38,2026-08-03,transfer
249,Lekki,12,2,484.92,2026-08-04,cash
250,Ikeja,10,2,487.69,2026-08-07,cash
251,Lekki,17,7,1227.25,2026-08-05,card
252,Surulere,15,4,,2026-08-04,cash
253,Ikeja,2,8,276.99,2026-08-07,transfer
254,Yaba,3,3,323.13,2026-08-06,cash
255,Yaba,17,3,1200.07,2026-08-03,cash
256,Victoria Island,11,1,933.9,2026-08-06,transfer
257,Ikeja,4,7,160.66,2026-08-06,card
258,Yaba,20,3,812.51,2026-08-05,card
259,Ikeja,12,5,558.87,2026-08-06,card
260,Victoria Island,20,2,808.05,2026-08-04,card
261,Surulere,5,2,232.3,2026-08-04,cash
262,Victoria Island,12,5,470.28,2026-08-02,transfer
263,Yaba,16,4,507.19,2026-08-02,card
264,Ikeja,4,1,,2026-08-07,cash
265,Ikeja,13,3,1873.01,2026-08-07,card
266,Surulere,6,8,808.74,2026-08-03,card
267,Lekki,15,5,772.26,2026-08-07,cash
268,Ikeja,8,5,806.91,2026-08-07,cash
269,Yaba,7,6,1403.49,2026-08-05,cash
270,Victoria Island,10,7,472.81,2026-08-04,card
271,Surulere,20,3,913.69,2026-08-01,card
272,Victoria Island,12,2,530.03,2026-08-05,cash
273,Ikeja,6,5,889.86,2026-08-05,card
274,Surulere,3,4,385.34,2026-08-03,cash
275,Victoria Island,13,6,1906.1,2026-08-01,transfer
276,Ikeja,11,2,,2026-08-06,transfer
277,Surulere,5,1,214.34,2026-08-07,cash
278,Lekki,5,8,222.43,2026-08-01,cash
279,Ikeja,7,3,1364.64,2026-08-06,cash
280,Victoria Island,4,5,158.91,2026-08-01,cash
281,Ikeja,20,8,761.78,2026-08-07,cash
282,Lekki,1,4,330.3,2026-08-03,cash
283,Ikeja,12,4,514.2,2026-08-02,card
284,Lekki,17,6,1118.61,2026-08-05,cash
285,Victoria Island,17,1,1207.37,2026-08-04,cash
286,Lekki,12,5,534.07,2026-08-03,cash
287,Victoria Island,4,6,155.0,2026-08-03,cash
288,Victoria Island,6,8,,2026-08-04,card
289,Ikeja,5,2,235.8,2026-08-04,cash
290,Ikeja,2,4,329.79,2026-08-03,transfer
291,Victoria Island,18,8,638.0,2026-08-07,card
292,Ikeja,12,1,547.4,2026-08-03,transfer
293,Ikeja,12,7,550.07,2026-08-06,cash
294,Surulere,13,6,2238.18,2026-08-04,card
295,Victoria Island,17,5,1320.32,2026-08-06,cash
296,Ikeja,20,3,852.28,2026-08-03,cash
297,Ikeja,10,5,466.82,2026-08-06,cash
298,Ikeja,15,6,722.66,2026-08-06,transfer
299,Lekki,14,5,231.97,2026-08-07,cash
300,Ikeja,13,6,,2026-08-06,card
301,Ikeja,1,3,339.41,2026-08-06,cash
302,Ikeja,3,4,382.28,2026-08-03,transfer
303,Victoria Island,19,1,1036.15,2026-08-06,cash
304,Yaba,12,8,535.85,2026-08-05,card
305,Victoria Island,13,6,2092.3,2026-08-02,cash
306,Ikeja,6,8,903.55,2026-08-05,cash
307,Ikeja,9,8,579.5,2026-08-05,transfer
308,Lekki,16,4,494.72,2026-08-07,cash
309,Victoria Island,15,2,781.71,2026-08-07,transfer
310,Lekki,3,5,391.31,2026-08-07,card
311,Lekki,6,6,901.75,2026-08-01,card
312,Surulere,8,8,,2026-08-05,cash
313,Victoria Island,18,3,691.79,2026-08-01,cash
314,Victoria Island,16,7,572.3,2026-08-07,cash
315,Ikeja,11,2,867.75,2026-08-06,cash
316,Victoria Island,18,3,715.17,2026-08-02,cash
317,Victoria Island,2,2,304.97,2026-08-03,card
318,Ikeja,8,6,803.97,2026-08-05,transfer
319,Surulere,9,4,637.32,2026-08-05,transfer
320,Ikeja,10,2,472.77,2026-08-02,cash
321,Yaba,5,3,232.94,2026-08-06,cash
322,Victoria Island,19,1,1085.68,2026-08-01,cash
323,Ikeja,19,5,1046.5,2026-08-07,cash
324,Victoria Island,1,8,,2026-08-05,transfer
325,Lekki,10,8,445.71,2026-08-07,card
326,Victoria Island,15,2,761.9,2026-08-02,cash
327,Victoria Island,15,4,705.28,2026-08-02,transfer
328,Surulere,11,6,970.2,2026-08-02,transfer
329,Victoria Island,4,6,159.07,2026-08-01,transfer
330,Victoria Island,5,2,202.53,2026-08-04,cash
331,Victoria Island,6,6,986.75,2026-08-06,transfer
332,Ikeja,6,8,999.19,2026-08-04,cash
333,Surulere,16,1,490.81,2026-08-04,cash
334,Victoria Island,8,4,744.79,2026-08-01,cash
335,Ikeja,20,8,803.58,2026-08-01,cash
336,Victoria Island,9,6,,2026-08-03,cash
337,Victoria Island,19,4,981.57,2026-08-03,cash
338,Victoria Island,15,5,784.11,2026-08-05,card
339,Lekki,5,2,219.7,2026-08-07,transfer
340,Lekki,12,3,472.39,2026-08-05,cash
341,Victoria Island,2,1,279.25,2026-08-03,cash
342,Victoria Island,5,3,216.4,2026-08-05,transfer
343,Ikeja,20,5,861.32,2026-08-05,cash
344,Victoria Island,19,5,1006.85,2026-08-01,transfer
345,Victoria Island,4,7,171.89,2026-08-07,card
346,Surulere,1,8,298.59,2026-08-06,cash
347,Lekki,2,8,281.51,2026-08-06,card
348,Lekki,13,3,,2026-08-02,cash
349,Lekki,4,4,150.71,2026-08-03,cash
350,Ikeja,7,7,1350.55,2026-08-05,cash
351,Surulere,2,3,305.01,2026-08-05,transfer
352,Yaba,16,7,517.65,2026-08-02,cash
353,Yaba,11,6,911.79,2026-08-07,card
354,Lekki,9,8,576.44,2026-08-02,transfer
355,Lekki,8,5,775.32,2026-08-06,card
356,Lekki,16,6,537.58,2026-08-05,card
357,Ikeja,4,7,183.59,2026-08-04,transfer
358,Yaba,5,5,202.1,2026-08-06,cash
359,Victoria Island,15,5,771.44,2026-08-02,card
360,Surulere,9,5,,2026-08-05,card
361,Lekki,8,1,758.85,2026-08-05,card
362,Lekki,2,2,297.9,2026-08-06,cash
363,Ikeja,5,1,248.23,2026-08-02,cash
364,Lekki,16,8,558.06,2026-08-07,transfer
365,Victoria Island,2,2,314.03,2026-08-02,cash
366,Lekki,2,3,298.21,2026-08-07,card
367,Yaba,2,7,323.19,2026-08-02,card
368,Yaba,10,1,420.97,2026-08-05,cash
369,Ikeja,11,5,868.6,2026-08-06,cash
370,Victoria Island,5,8,213.64,2026-08-07,cash
371,Victoria Island,15,5,766.77,2026-08-01,card
372,Victoria Island,10,4,,2026-08-07,card
373,Surulere,14,6,204.34,2026-08-06,cash
374,Ikeja,5,8,216.18,2026-08-02,cash
375,Ikeja,8,8,772.49,2026-08-03,transfer
376,Lekki,19,1,958.85,2026-08-03,card
377,Ikeja,4,8,161.51,2026-08-04,card
378,Victoria Island,10,2,487.06,2026-08-03,transfer
379,Lekki,8,3,727.7,2026-08-04,card
380,Yaba,12,7,528.97,2026-08-04,cash
381,Surulere,7,4,1404.1,2026-08-05,cash
382,Victoria Island,17,6,1121.48,2026-08-05,cash
383,Ikeja,18,4,685.91,2026-08-02,card
384,Victoria Island,17,8,,2026-08-02,card
385,Lekki,3,8,384.7,2026-08-04,card
386,Victoria Island,15,1,740.8,2026-08-06,transfer
387,Lekki,13,5,2167.4,2026-08-06,card
388,Lekki,2,7,293.26,2026-08-01,cash
389,Yaba,3,8,322.54,2026-08-04,card
390,Surulere,14,6,249.64,2026-08-04,cash
391,Surulere,13,7,1836.11,2026-08-06,cash
392,Ikeja,12,2,470.08,2026-08-05,cash
393,Victoria Island,8,1,772.88,2026-08-03,cash
394,Lekki,18,7,679.79,2026-08-07,card
395,Ikeja,12,3,481.01,2026-08-06,cash
396,Ikeja,14,1,,2026-08-01,cash
397,Lekki,15,1,689.77,2026-08-01,cash
398,Victoria Island,18,4,713.16,2026-08-07,cash
399,Ikeja,10,4,505.66,2026-08-06,cash
400,Victoria Island,20,6,794.42,2026-08-02,card
67,Victoria Island,2,8,285.01,2026-08-07,cash
29,Victoria Island,20,7,930.82,2026-08-05,card
53,Surulere,8,6,696.31,2026-08-04,cash
39,Ikeja,6,5,892.53,2026-08-07,cash
36,Ikeja,4,7,,2026-08-04,cash
8,Victoria Island,13,2,2048.42,2026-08-07,card
72,Lekki,11,7,,2026-08-05,cash
76,Yaba,17,5,1283.4,2026-08-03,cash
95,Ikeja,14,7,245.24,2026-08-05,card
23,Ikeja,17,3,1239.61,2026-08-01,card
81,Surulere,6,2,856.76,2026-08-06,card
87,Victoria Island,18,4,737.62,2026-08-01,cash
55,Yaba,4,3,159.92,2026-08-01,card
72,Lekki,11,7,,2026-08-05,cash
64,Yaba,8,3,808.63,2026-08-07,card
